DON'T THINK PEOPLE ACTUALLY USED "ALACK" LIKE THAT
100.00%: 
16.58%:  CAN
14.89%: 'LL
7.81%:  NE
16.56%:  NEED YOU
14.13%:  NEED THE
15.89%:  NEED THE KEY
8.99%:  NEED TO CHECK
8.65%:  NEED YOU TO T
8.32%:  NEED TO USE
7.71%:  NEED YOU TO H
7.17%:  CAN SE
18.87%:  CAN SEE THAT
6.34%:  NEED YOU TO CHECK
6.21%:  CAN SEE YOU TH
5.82%:  NEED TO K
5.82%:  K
5.72%:  CAN SEE THE
5.62%:  CAN SEE THAT YOU
5.55%:  NEED YOU TO CHECK THE
4.87%:  LO
4.81%:  CAN SEE YOU'
4.71%:  NEED YOU TO TELL THE
4.63%:  NEED YOU TO ST
4.46%:  NEED YOU TO AN
4.21%:  CAN'T H
8.23%:  CAN'T HELP YOU
5.24%:  CAN'T HELP THAT
5.25%:  CAN'T HELP THAT YOU
4.06%:  CAN HE
4.04%:  D
12.79%:  DON'T K
6.01%:  DON'T TH
26.53%:  DON'T THINK YOU HE
16.97%:  DON'T THINK YOU U
14.36%:  DON'T THINK THAT
5.36%:  DON'T THINK YOU K
5.00%:  DON'T THINK I
4.38%:  DON'T THINK HE
4.22%:  DON'T THINK THE
4.01%:  TH
24.77%:  THINK YOU'LL
12.70%:  THINK YOU S
24.17%:  THINK YOU SHOULD LE
23.22%:  THINK YOU SHOULD K
20.28%:  THINK YOU SHOULD T
50.49%:  THINK YOU SHOULD TELL
15.11%:  THINK YOU SHOULD P
14.71%:  THINK YOU SHOULD TAL
9.37%:  THINK YOU SHOULD'
7.66%:  THINK YOU CAN
7.06%:  THINK YOU SHOULD A
6.69%:  THINK YOU SHOULD KEE
6.30%:  THINK YOU SHOULD C
7.29%:  THINK YOU SHOULD CLEAN
6.13%:  THINK YOU SHOULD TELL PE
5.27%:  THINK YOU'D
5.20%:  THINK YOU SHOULD ACT
4.67%:  THINK YOU SHOULD L
4.08%:  THINK YOU SHOULD TAKE AN
4.01%:  NEED TO CHECK THE
3.93%:  NEED YOU TO K
3.93%:  NEED SO
3.81%:  THINK YOU D
3.63%:  THINK YOU SHOULD AL
3.63%:  THINK YOU SHOULD TALK A
3.54%:  NEED THESE
3.52%:  NEED TO USE THE TO
3.49%:  THINK YOU SHOULD TELL E
3.37%:  DON'T THINK THAT YOU
3.32%:  CAN'T HELP IT THAT
3.59%:  CAN'T HELP IT THAT YOU
3.32%:  THINK YOU SHOULD TELL ALL
3.31%:  THINK YOU CAN DO
3.30%:  THINK YOU SHOULD NE
3.12%:  THINK YOU SHOULD TAKE A L
3.09%:  NEED THE C
3.08%:  THINK YOU NE
6.92%:  THINK YOU NEED TO CHECK
4.24%:  THINK YOU NEED TO LE
3.50%:  THINK YOU NEED TO ST
3.03%:  DON'T THINK YOU S
3.00%:  NEED THAT
2.99%:  THINK THE
2.89%:  CAN SEE YOU AND
2.81%:  DON'T THINK THIS
2.79%:  THINK YOU AND
2.78%:  HE
2.76%:  NEED YOU TO S
2.64%:  NEED TO CHECK OUT
2.63%:  CAN DO
4.67%:  CAN DO THAT ANY
2.58%: 'LL T
13.35%: 'LL TELL YOU ONE
9.63%: 'LL TELL YOU ONE S
6.75%: 'LL TELL YOU A
3.77%: 'LL TELL YOU THE
3.30%: 'LL TELL YOU THIS
2.57%:  THINK YOU SHOULD PICK
2.52%:  DON'T THINK THESE
2.48%:  THINK YOU SHOULD IN
2.47%:  THINK YOU SHOULD AT
2.46%:  THINK YOU CAN HE
2.46%:  NEED THAT KEY
2.43%:  THINK YOU SHOULD DE
2.39%:  S
2.37%:  NEED YOU TO KEE
2.33%:  NEED TO HE
2.28%:  DON'T THINK THAT CO
2.24%:  THINK YOU'LL LO
2.18%:  H
2.34%:  HAD NO
9.93%:  HAD NO IDEA YOU'
5.73%:  HAD NO IDEA THAT
10.89%:  HAD NO IDEA THAT YOU
5.26%:  HAD NO IDEA YOU H
4.58%:  HAD NO IDEA YOU SPE
3.20%:  HAD NO IDEA THE
3.10%:  HAD NO IDEA THAT YOU'
2.17%:  HAD NO IDEA YOU K
2.16%: 'D
2.15%:  NEED TO CHECK OUT THE
2.13%:  THINK YOU SHOULD D
2.08%:  THINK YOU NEED TO HE
2.07%:  CAN T
4.74%:  CAN TELL YOU
2.08%:  CAN TELL THAT
2.75%:  CAN TELL THAT YOU
2.06%:  NEED TO T
4.45%:  NEED TO TELL
16.19%:  NEED TO TELL YOU THAT
8.94%:  NEED TO TELL YOU A
5.66%:  NEED TO TELL YOU A SE
3.95%:  NEED TO TELL YOU THAT I
3.77%:  NEED TO TELL YOU THIS
3.06%:  NEED TO TELL YOU THAT I'
2.43%:  NEED TO TELL YOU THE
2.05%:  THINK YOU SHOULD E
2.05%:  DID
2.01%: 'LL TELL THE
1.99%:  THINK YOU NEED TO P
1.98%:  NEED YOU TO P
5.62%:  NEED YOU TO PLEASE
1.96%:  THINK I
1.95%:  THINK YOU SHOULD CANCE
1.91%:  THINK YOU SHOULD NEED
1.90%: 'LL TELL YOU HO
1.87%:  NEED TO LE
1.86%:  NEED YOU TO HAND
2.13%:  NEED YOU TO HANDLE THE
1.82%:  THINK YOU CAN DO THAT
1.81%: 'LL P
1.81%:  CAN'T HELP IT I
1.80%:  CAN'T HELP THAT I
1.79%:  CAN SEE THAT AND
1.79%:  DON'T SPE
1.76%:  THINK YOU NEED TO T
3.19%:  THINK YOU NEED TO TELL
2.01%:  THINK YOU NEED TO TAL
1.74%: 'LL TELL YOU THIS ONE
1.74%:  CO
9.64%:  COULD USE
6.47%:  COULD USE A HAND H
6.25%:  COULD USE A HEL
3.84%:  COULDN
47.86%:  COULDN'T HELP NOT
36.68%:  COULDN'T HELP NOTICE
95.75%:  COULDN'T HELP NOTICE THAT
15.14%:  COULDN'T HELP NOTICE THE
11.90%:  COULDN'T HELP IT
7.10%:  COULDN'T HELP NOTICE THAT ALL
5.24%:  COULDN'T HELP NOTICE THAT I
4.12%:  COULDN'T HELP O
3.93%:  COULDN'T HELP NOTICES
3.24%:  COULD USE A L
132.51%:  COULD USE A LITTLE HELP H
32.79%:  COULD USE A LITTLE HELP IN
44.11%:  COULD USE A LITTLE HELP IN THE
24.06%:  COULD USE A LITTLE HELP LO
15.56%:  COULD USE A LITTLE HELP O
14.30%:  COULD USE A LITTLE HELP T
12.15%:  COULD USE A LITTLE HELP ON
9.04%:  COULD USE A LITTLE HELP DO
7.97%:  COULD USE A LITTLE HELP ON THAT
7.81%:  COULD USE A LITTLE HELP IN THE LO
7.40%:  COULD USE A LITTLE HELP TO
6.85%:  COULD USE A LITTLE HELP A
6.77%:  COULD USE A LITTLE HELP AND
6.03%:  COULD USE A LITTLE HELP IN H
5.96%:  COULD USE A LITTLE HELP P
5.31%:  COULD USE A LITTLE HELP IN THAT
5.21%:  COULD USE A LITTLE HELP TON
4.72%:  COULD USE A LITTLE HELP IN THE "
4.47%:  COULD USE A LITTLE HELP TH
4.36%:  COULD USE A LITTLE HELP IN THE C
3.40%:  COULD USE A LITTLE HELP C
3.35%:  COULD USE A LITTLE HELP THINK
3.20%:  COULDN'T HELP NOTICE ALL
3.17%:  COULD USE A LITTLE HELP IN A
3.10%:  COULD USE A LITTLE HELP HE
3.01%:  COULDN'T HELP NOTICE THAT "
2.98%:  COULDN'T HELP NOTICE THIS
2.94%:  COULD USE A LITTLE HELP IN THE CON
2.88%:  COULD USE A LITTLE HELP TAK
2.85%:  COULDN'T HELP HE
2.73%:  COULD USE A LITTLE HELP IN LO
2.72%:  COULDN'T PO
2.65%:  COULD USE A LITTLE HELP AT
2.61%:  COULDN'T HELP NOTICE THAT "AL
2.61%:  COULDN'T HELP NOTICE THAT L
2.60%:  COULD USE A LITTLE HELP IN THE K
2.60%:  COULD USE THE
2.56%:  COULDN'T HELP NOTICE THE "
2.53%:  COULD USE A LITTLE HELP THE
2.51%:  COULD USE A LITTLE HELP THANK
2.48%:  COULD USE A LITTLE HELP AT HO
2.42%:  COULD USE A LITTLE HELP NOT
2.31%:  COULD USE A LITTLE HELP IN THE P
2.28%:  COULDN'T HELP NOTICE ALL THE S
2.24%:  COULDN'T HE
2.21%:  COULD USE A LITTLE HELP TYP
2.17%:  COULD USE A LITTLE HELP THEN
2.15%:  COULD USE A LITTLE HELLO
2.04%:  COULDN'T HELP THAT
1.99%:  COULDN'T HELP THAT ONE
1.98%:  COULD USE A LITTLE HELP ON THE C
1.93%:  COULDN'T HELP NOTICE THE S
1.93%:  COULDN'T HELP NOTICES THE
1.91%:  COULD USE A LITTLE HELP PICK
1.89%:  COULD USE A LITTLE IN
1.85%:  COULD USE A LITTLE HELP NO
1.85%:  COULD USE A LITTLE HELP CON
1.84%:  COULD USE A LITTLE HELP HO
1.81%:  COULD USE A LITTLE HELP ON A
1.81%:  COULD USE A LITTLE HELP AL
1.77%:  COULD USE A LITTLE HELP D
1.73%:  THINK THAT
3.03%:  THINK THAT'S A
2.17%:  THINK THAT'S YOU
1.73%:  CAN'T HELP YOU OUT
1.73%:  THINK YOU SHOULD TAKE ALL
1.72%:  COULDN'T HELP NOTICE THAT S
1.72%:  THINK I'
1.85%:  THINK I'LL
1.72%:  CAN SEE YOU T
1.71%:  CAN SEE YOU DO
1.70%:  CAN TOT
