means that not all dreams can come true!)
      0 100.00%: 
      1 185.90%:  rules
      2 37.56%: !)
      3 19.35%:  has
      4 13.78%:  doesn
      5 12.81%:  rules)
      6 7.68%:  can
      7 6.41%: )
      8 4.16%:  has let
      9 3.69%:  means
     10 3.39%:  has made
     11 3.10%:  has done
     12 2.91%:  rules the
     13 2.79%:  and
     14 2.52%:  has done me
     15 2.12%:  means so
     16 67.68%:  means so much to me)
     17 7.00%:  means so much more
     18 3.43%:  means so much to me and
     19 2.04%:  means more
     20 3.91%:  means more to me than a
     21 2.44%:  means more than
     22 2.02%:  does
     23 1.92%:  tells
     24 1.92%:  tells me
     25 4.92%:  tells me that
     26 1.62%:  has no
     27 1.46%:  rules so
     28 2.84%:  rules so hard)
     29 1.44%:  rules once
     30 1.44%:  can also
     31 1.42%:  comes
     32 1.40%:  rules and
     33 1.27%:  does not care
     34 1.26%:  does that
     35 7.46%:  does that to me all
     36 2.42%:  does that to me a
     37 1.53%:  does that to me)
     38 1.25%:  rule
     39 1.23%:  rules and that
     40 1.19%:  mar
     41 1.16%:  has some
     42 1.15%:  that
     43 1.15%:  rules once more
     44 1.13%:  needs
     45 2.63%:  needs more
     46 1.12%:  has done me no
     47 1.11%:  has come
     48 1.09%:  sure
     49 1.00%:  means more to me than an
     50 0.98%:  sure has
     51 0.97%:  rule one
     52 0.96%:  does that to me!)
     53 0.94%:  has made some
     54 0.89%:  tells us there
     55 1.77%:  tells us there are
     56 0.88%:  rules the ro
     57 0.87%:  must
     58 0.85%:  has made me a
     59 0.85%:  seems
     60 0.82%:  that doesn
     61 0.82%:  means more than meets
     62 0.82%:  den
     63 0.82%:  means so much!)
     64 0.76%:  tells me so
     65 0.75%:  needs to
     66 0.70%:  means a
     67 58.35%:  means a lot to me!)
     68 1.97%:  means a lot to us
     69 1.97%:  means a lot to me and
     70 1.77%:  means a lot to me these
     71 1.28%:  means a lot to me and that
     72 1.22%:  means a lot to us here
     73 0.98%:  means a lot to us!)
     74 0.78%:  means a lot to me and that means
     75 0.69%:  rules here
     76 0.69%:  does that to us
     77 1.69%:  does that to us all
     78 0.78%:  does that to us all!)
     79 0.68%:  turns
     80 0.68%:  alone
     81 0.67%:  can do
     82 0.93%:  can do that
     83 0.70%:  can do that to
     84 0.67%:  holds
     85 0.67%:  sure can
     86 0.66%:  rules hard
     87 0.65%:  ner
     88 1.26%:  nerds!)
     89 0.65%:  don
     90 0.65%:  sure has come
     91 0.64%:  and the
     92 0.64%:  has also
     93 0.64%:  alert
     94 0.64%:  means more to me that
     95 0.64%:  rules that
     96 0.64%:  also
     97 0.66%:  also rules
     98 0.63%:  lets
     99 0.63%:  has ruled
    100 0.63%:  has also made
    101 0.61%:  ruled
    102 0.59%:  tells me that dreams
    103 0.58%:  lets me
    104 0.58%:  has so
    105 0.58%:  tells me that)
    106 0.57%:  tells us that no
    107 0.57%:  has a
    108 0.57%:  and math
    109 0.56%:  tells me that dreams are not
    110 0.56%:  means more to us
    111 0.85%:  means more to us than mere
    112 0.55%:  also means
    113 0.60%:  also means that
    114 0.55%:  has no more
    115 0.54%:  rules the land
    116 0.54%:  can sure
    117 0.54%:  made
    118 0.52%:  rules are
    119 0.50%:  means that
    120 0.49%:  tells us the
    121 0.48%:  needs to come
    122 0.48%:  tells us that)
    123 0.47%:  has rules
    124 0.47%:  not
    125 0.46%:  does rule
    126 0.46%:  tells us that one
    127 0.46%:  rules hard!)
    128 0.46%:  has not
    129 1.12%:  has not let
    130 0.46%:  tells us that once
    131 0.46%:  means more to me then
    132 0.45%:  has done me real
    133 0.45%:  could
    134 0.44%:  one
    135 0.44%:  must not
    136 0.44%:  has ro
    137 0.44%:  means more to me than a state
    138 0.44%:  has made me so
    139 0.42%:  rules at
    140 0.42%:  sure has made
    141 0.42%:  has let us
    142 0.41%:  has made me more
    143 0.41%:  class
    144 0.40%:  also rules!)
    145 0.40%:  rule!)
    146 0.39%:  can tell
    147 0.42%:  can tell us so
    148 0.39%:  lets us learn
    149 0.39%:  means more to me than all
    150 0.38%:  rules as
    151 0.38%:  can do that!)
    152 0.37%:  means a lot to us)
    153 0.37%:  means so much to me and all
    154 0.36%:  has rules!)
    155 0.36%:  means so much more!)
    156 0.35%:  tells us that a
    157 0.35%:  has made me lose
    158 0.35%:  
    159 0.34%:  has made me a lot
    160 0.34%:  also doesn
    161 0.34%:  that could
    162 0.34%:  let
    163 0.34%:  name
    164 0.33%:  does rule the
    165 0.33%:  does not let
    166 0.33%:  does not care that
    167 0.33%:  can rule
    168 0.33%:  means more to me than un
    169 0.33%:  sure does
    170 0.32%:  tells us that one can
    171 0.32%:  sure comes
